feature,usage,usage_pct,is_dead,attack_ratio,corr_brightness,corr_boominess,corr_warmth,corr_hardness,corr_depth,corr_roughness,corr_sharpness,corr_loudness,corr_reverb
565,31.0,0.009447533,False,318.67368,-0.033388663,0.02905711,0.035198595,-0.037228517,0.027902097,-0.033543937,-0.03686775,0.017130556,0.10945951
566,26.0,0.007923737,False,20.225471,-0.03860782,0.03569284,0.038691968,-0.04480001,0.033979554,-0.040584113,-0.041750472,0.02405974,0.10785595
567,3.0,0.0009142774,False,19.562557,-0.034436576,0.032847133,0.036035575,-0.040456813,0.03241264,-0.03595999,-0.037853766,0.020413784,0.10818861
568,1.0,0.00030475913,False,1317.2125,-0.033822913,0.03317893,0.035362124,-0.042479094,0.03170468,-0.035805028,-0.03735635,0.019633682,0.10813613
569,4.0,0.0012190365,False,1410.0162,-0.034158047,0.03332004,0.037005864,-0.043020166,0.033025548,-0.037106846,-0.038174592,0.02051938,0.108003646
570,3.0,0.0009142774,False,0.0,-0.033999886,0.03337206,0.03696822,-0.041554127,0.032792557,-0.03725404,-0.037399177,0.01714992,0.107759945
571,2.0,0.00060951826,False,0.0,-0.03330858,0.031912424,0.03693699,-0.040544283,0.032440007,-0.036360115,-0.03775982,0.017124675,0.10833676
572,134311.0,40.932503,False,1.0716783,-0.07169754,0.03945243,0.053656045,-0.015388277,0.03590838,-0.064389504,-0.0985389,-0.014419165,0.00055294414
573,31.0,0.009447533,False,21232.67,-0.025409006,0.025919491,0.02740348,-0.03627395,0.02574699,-0.030563638,-0.029518165,0.015079932,0.112657994
574,2.0,0.00060951826,False,0.0,-0.03348412,0.032302603,0.03552267,-0.040978827,0.032134704,-0.036320593,-0.037248652,0.019223925,0.107402734
575,2.0,0.00060951826,False,1351.5706,-0.03438923,0.033463914,0.037209857,-0.04226983,0.03314553,-0.037005257,-0.037809778,0.019338422,0.1075946
576,5.0,0.0015237957,False,0.0,-0.03435507,0.03261575,0.035982743,-0.041034553,0.031877942,-0.03708942,-0.037391905,0.019742597,0.10816887
577,55545.0,16.927845,False,15.0711,0.18200654,-0.12104194,-0.16130497,0.1885842,-0.14313534,0.22161199,0.14418052,-0.018879218,0.014223955
578,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
